S.No,Title,Author,Date,Publisher,Pages
1,LearningPython,Mark Lutz,June2013,O'Reilly Media, 1648
2,IntroductiontoMachineLearningwithPython,"Andreas C. Müller, Sarah Guido",September2016,O'Reilly Media, 285
3,PickingaPythonVersion:AManifesto,David Mertz,"March13,2015",O'Reilly Media,NA
4,LearningPython,"Mark Lutz, David Ascher",December2003,O'Reilly Media, 624
5,"PythonGUIProgrammingCookbook,2ndEdition",Burkhard Meier,May2017,Packt Publishing, 422
6,"PythonWebScraping,2ndEdition","Richard Lawson, Katharine Jarmul",May2017,Packt Publishing, 220
7,Python:End-to-endDataAnalysis,"Ivan Idris, Martin Czygan, Magnus Persson, Luiz Martins, Phuong Vothihong",May2017,Packt Publishing, 931
8,"PythonHighPerformance,2ndEdition",Gabriele Lanaro,May2017,Packt Publishing, 270
9,PythonWebFrameworks,Carlos De La Guardia,"March14,2016",O'Reilly Media,NA
10,HadoopwithPython,Donald Miner,"October26,2015",O'Reilly Media,NA
11,"WritingFasterApplicationswithPython-O'ReillyMediaFree,LiveEvents",Gabriele Lanaro,"PublishDate:August04,2016",NA,NA
12,AWhirlwindTourofPython,Jake VanderPlas,"August15,2016",O'Reilly Media,NA
13,20PythonLibrariesYouAren'tUsing(ButShould),Caleb Hattingh,"August12,2016",O'Reilly Media,NA
14,HowtoMakeMistakesinPython,Mike Pirnat,"October02,2015",O'Reilly Media,NA
15,PythonforDataDevelopers,"O'Reilly Media, Inc.","September10,2015",O'Reilly Media,NA
16,PythonforScientists,A publication of O'Reilly Media,"September17,2015",O'Reilly Media,NA
